"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"06049","Azul","2.00  -  3.00  personas por cuarto",1621,74
"06049","Azul","Más de  3.00 personas por cuarto",193,40
"06049","Azul","Total",18096,2124
"06056","Bahía Blanca","Hasta   0.50 personas por cuarto",20634,9746
"06056","Bahía Blanca","0.51  -  0.99  personas por cuarto",17884,4289
"06056","Bahía Blanca","1.00  -  1.49  personas por cuarto",21273,8763
"06056","Bahía Blanca","1.50  -  1.99  personas por cuarto",5337,1033
"06056","Bahía Blanca","2.00  -  3.00  personas por cuarto",6492,2168
"06056","Bahía Blanca","Más de  3.00 personas por cuarto",1322,145
"06056","Bahía Blanca","Total",72942,26144
"06063","Balcarce","Hasta   0.50 personas por cuarto",3419,356
"06063","Balcarce","0.51  -  0.99  personas por cuarto",2484,202
"06063","Balcarce","1.00  -  1.49  personas por cuarto",3503,343
"06063","Balcarce","1.50  -  1.99  personas por cuarto",984,43
"06063","Balcarce","2.00  -  3.00  personas por cuarto",1365,109
"06063","Balcarce","Más de  3.00 personas por cuarto",210,10
"06063","Balcarce","Total",11965,1063
"06070","Baradero","Hasta   0.50 personas por cuarto",2609,86
"06070","Baradero","0.51  -  0.99  personas por cuarto",1967,33
"06070","Baradero","1.00  -  1.49  personas por cuarto",2720,33
"06070","Baradero","1.50  -  1.99  personas por cuarto",788,9
"06070","Baradero","2.00  -  3.00  personas por cuarto",954,11
"06070","Baradero","Más de  3.00 personas por cuarto",133,0
"06070","Baradero","Total",9171,172
"06077","Bartolomé Mitre","Hasta   0.50 personas por cuarto",2602,112
"06077","Bartolomé Mitre","0.51  -  0.99  personas por cuarto",1917,64
"06077","Bartolomé Mitre","1.00  -  1.49  personas por cuarto",2460,74
"06077","Bartolomé Mitre","1.50  -  1.99  personas por cuarto",655,7
"06077","Bartolomé Mitre","2.00  -  3.00  personas por cuarto",746,21
"06077","Bartolomé Mitre","Más de  3.00 personas por cuarto",94,2
"06077","Bartolomé Mitre","Total",8474,280
"06084","Benito Juárez","Hasta   0.50 personas por cuarto",2114,47
"06084","Benito Juárez","0.51  -  0.99  personas por cuarto",1296,12
"06084","Benito Juárez","1.00  -  1.49  personas por cuarto",1794,46
"06084","Benito Juárez","1.50  -  1.99  personas por cuarto",466,5
"06084","Benito Juárez","2.00  -  3.00  personas por cuarto",559,16
"06084","Benito Juárez","Más de  3.00 personas por cuarto",61,3
"06084","Benito Juárez","Total",6290,129
"06098","Berisso","Hasta   0.50 personas por cuarto",5057,344
"06098","Berisso","0.51  -  0.99  personas por cuarto",4615,163
"06098","Berisso","1.00  -  1.49  personas por cuarto",7003,547
"06098","Berisso","1.50  -  1.99  personas por cuarto",2214,117
"06098","Berisso","2.00  -  3.00  personas por cuarto",2258,214
"06098","Berisso","Más de  3.00 personas por cuarto",421,10
"06098","Berisso","Total",21568,1395
"06105","Bolívar","Hasta   0.50 personas por cuarto",3841,123
"06105","Bolívar","0.51  -  0.99  personas por cuarto",2410,57
"06105","Bolívar","1.00  -  1.49  personas por cuarto",2854,120
"06105","Bolívar","1.50  -  1.99  personas por cuarto",755,26
"06105","Bolívar","2.00  -  3.00  personas por cuarto",852,37
"06105","Bolívar","Más de  3.00 personas por cuarto",132,3
"06105","Bolívar","Total",10844,366
"06112","Bragado","Hasta   0.50 personas por cuarto",4386,195
"06112","Bragado","0.51  -  0.99  personas por cuarto",2584,70
"06112","Bragado","1.00  -  1.49  personas por cuarto",3405,175
"06112","Bragado","1.50  -  1.99  personas por cuarto",965,26
"06112","Bragado","2.00  -  3.00  personas por cuarto",1121,39
"06112","Bragado","Más de  3.00 personas por cuarto",154,3
"06112","Bragado","Total",12615,508
"06119","Brandsen","Hasta   0.50 personas por cuarto",1709,49
"06119","Brandsen","0.51  -  0.99  personas por cuarto",1271,24
"06119","Brandsen","1.00  -  1.49  personas por cuarto",2093,105
"06119","Brandsen","1.50  -  1.99  personas por cuarto",659,23
"06119","Brandsen","2.00  -  3.00  personas por cuarto",821,53
"06119","Brandsen","Más de  3.00 personas por cuarto",127,9
"06119","Brandsen","Total",6680,263
"06126","Campana","Hasta   0.50 personas por cuarto",4717,815
"06126","Campana","0.51  -  0.99  personas por cuarto",4765,546
"06126","Campana","1.00  -  1.49  personas por cuarto",6518,1126
"06126","Campana","1.50  -  1.99  personas por cuarto",1783,137
"06126","Campana","2.00  -  3.00  personas por cuarto",2049,175
"06126","Campana","Más de  3.00 personas por cuarto",381,0
"06126","Campana","Total",20213,2799
"06134","Cañuelas","Hasta   0.50 personas por cuarto",2585,121
"06134","Cañuelas","0.51  -  0.99  personas por cuarto",2160,67
"06134","Cañuelas","1.00  -  1.49  personas por cuarto",3598,212
"06134","Cañuelas","1.50  -  1.99  personas por cuarto",1170,58
"06134","Cañuelas","2.00  -  3.00  personas por cuarto",1455,79
"06134","Cañuelas","Más de  3.00 personas por cuarto",235,8
"06134","Cañuelas","Total",11203,545
"06140","Capitán Sarmiento","Hasta   0.50 personas por cuarto",1234,7
"06140","Capitán Sarmiento","0.51  -  0.99  personas por cuarto",893,8
"06140","Capitán Sarmiento","1.00  -  1.49  personas por cuarto",1267,25
"06140","Capitán Sarmiento","1.50  -  1.99  personas por cuarto",344,3
"06140","Capitán Sarmiento","2.00  -  3.00  personas por cuarto",418,16
"06140","Capitán Sarmiento","Más de  3.00 personas por cuarto",67,3
"06140","Capitán Sarmiento","Total",4223,62
"06147","Carlos Casares","Hasta   0.50 personas por cuarto",2187,130
"06147","Carlos Casares","0.51  -  0.99  personas por cuarto",1354,42
"06147","Carlos Casares","1.00  -  1.49  personas por cuarto",1790,127
"06147","Carlos Casares","1.50  -  1.99  personas por cuarto",567,30
"06147","Carlos Casares","2.00  -  3.00  personas por cuarto",694,51
"06147","Carlos Casares","Más de  3.00 personas por cuarto",133,7
"06147","Carlos Casares","Total",6725,387
"06154","Carlos Tejedor","Hasta   0.50 personas por cuarto",1099,6
"06154","Carlos Tejedor","0.51  -  0.99  personas por cuarto",726,1
"06154","Carlos Tejedor","1.00  -  1.49  personas por cuarto",943,10
"06154","Carlos Tejedor","1.50  -  1.99  personas por cuarto",287,5
"06154","Carlos Tejedor","2.00  -  3.00  personas por cuarto",338,1
"06154","Carlos Tejedor","Más de  3.00 personas por cuarto",33,0
"06154","Carlos Tejedor","Total",3426,23
"06161","Carmen de Areco","Hasta   0.50 personas por cuarto",1046,11
"06161","Carmen de Areco","0.51  -  0.99  personas por cuarto",809,9
"06161","Carmen de Areco","1.00  -  1.49  personas por cuarto",1242,9
"06161","Carmen de Areco","1.50  -  1.99  personas por cuarto",383,5
"06161","Carmen de Areco","2.00  -  3.00  personas por cuarto",475,2
"06161","Carmen de Areco","Más de  3.00 personas por cuarto",78,0
"06161","Carmen de Areco","Total",4033,36
"06168","Castelli","Hasta   0.50 personas por cuarto",725,7
"06168","Castelli","0.51  -  0.99  personas por cuarto",406,2
"06168","Castelli","1.00  -  1.49  personas por cuarto",731,13
"06168","Castelli","1.50  -  1.99  personas por cuarto",256,1
"06168","Castelli","2.00  -  3.00  personas por cuarto",331,9
"06168","Castelli","Más de  3.00 personas por cuarto",57,1
"06168","Castelli","Total",2506,33
"06175","Colón","Hasta   0.50 personas por cuarto",2209,162
"06175","Colón","0.51  -  0.99  personas por cuarto",1617,65
"06175","Colón","1.00  -  1.49  personas por cuarto",1958,87
"06175","Colón","1.50  -  1.99  personas por cuarto",578,13
"06175","Colón","2.00  -  3.00  personas por cuarto",660,8
"06175","Colón","Más de  3.00 personas por cuarto",104,1
"06175","Colón","Total",7126,336
"06182","Coronel de Marina L. Rosales","Hasta   0.50 personas por cuarto",4587,633
"06182","Coronel de Marina L. Rosales","0.51  -  0.99  personas por cuarto",3597,348
"06182","Coronel de Marina L. Rosales","1.00  -  1.49  personas por cuarto",4870,746
"06182","Coronel de Marina L. Rosales","1.50  -  1.99  personas por cuarto",1300,280
"06182","Coronel de Marina L. Rosales","2.00  -  3.00  personas por cuarto",1341,405
"06182","Coronel de Marina L. Rosales","Más de  3.00 personas por cuarto",208,84
"06182","Coronel de Marina L. Rosales","Total",15903,2496
"06189","Coronel Dorrego","Hasta   0.50 personas por cuarto",1880,55
